Unit_ID;Connection_side;Code;AQT_type;AQT_set_min;AQT_dPmin;Gnom;Tmax;Actuator;Static_valve;Static_valve_setting;DN;Pump;Pump_setting
АУУ-AQF-813-80-80-C-S Лев;left;148L5585;AQF DN80;40;30;28;120°С;AME435QM;MNF_DN80;0;DN80;Magna1 65-60F;3
АУУ-AQF-580-65-65-C-S Лев;left;148L5584;AQF DN65;40;30;20;120°С;AME435QM;MNF_DN65;0;DN65;Magna1 40-120F;3
АУУ-AQT-363-50-50-C-S Лев;left;150U3520;AQT DN50;40;30;12,5;120°С;AME435QM;MVT_DN50;0;DN50;Magna1 40-80F;3
АУУ-AQT-218-40-40-C-S Лев;left;150U3519;AQT DN40;40;30;7,5;120°С;AME435QM;MVT_DN40;0;DN40;Magna1 32-80;3
АУУ-AQT-93-32-32-C-S Лев;left;150U3518;AQT DN32;20;20;3,2;120°С;AME120 NL;MVT_DN32;0;DN32;UPS 25-70 180;3
АУУ-AQT-49-25-25-C-S Лев;left;150U3517;AQT DN25;20;20;1,7;120°С;AME120 NL;MVT_DN25;0;DN25;UPM3 AUTO 15-70;3
АУУ-AQT-32-20-20-C-S Лев;left;150U3516;AQT 4.0 DN20;10;16;1,1;95°С;AME120 NL;MVT_DN20;0;DN20;UPM3 AUTO 15-70;3
АУУ-AQT-18-15-15-C-S Лев;left;150U3525;AQT 4.0 DN15;10;16;0,65;95°С;AME120 NL;MVT_DN15;0;DN15;UPM3 AUTO 15-70;3
АУУ-AQF-813-80-80-C-S Прав;right;148L5591;AQF DN80;40;30;28;120°С;AME435QM;MNF_DN80;0;DN80;Magna1 65-60F;3
АУУ-AQF-580-65-65-C-S Прав;right;148L5590;AQF DN65;40;30;20;120°С;AME435QM;MNF_DN65;0;DN65;Magna1 40-120F;3
АУУ-AQT-363-50-50-C-S Прав;right;150U5166;AQT DN50;40;30;12,5;120°С;AME435QM;MVT_DN50;0;DN50;Magna1 40-80F;3
АУУ-AQT-218-40-40-C-S Прав;right;150U5165;AQT DN40;40;30;7,5;120°С;AME435QM;MVT_DN40;0;DN40;Magna1 32-80;3
АУУ-AQT-93-32-32-C-S Прав;right;150U5164;AQT DN32;20;20;3,2;120°С;AME120 NL;MVT_DN32;0;DN32;UPS 25-70 180;3
АУУ-AQT-49-25-25-C-S Прав;right;150U5163;AQT DN25;20;20;1,7;120°С;AME120 NL;MVT_DN25;0;DN25;UPM3 AUTO 15-70;3
АУУ-AQT-32-20-20-C-S Прав;right;150U5162;AQT 4.0 DN20;10;16;1,1;95°С;AME120 NL;MVT_DN20;0;DN20;UPM3 AUTO 15-70;3
АУУ-AQT-18-15-15-C-S Прав;right;150U5161;AQT 4.0 DN15;10;16;0,65;95°С;AME120 NL;MVT_DN15;0;DN15;UPM3 AUTO 15-70;3
