Unit_ID,Connection_side,Code,AQT_type,AQT_set_min,AQT DPmin,Gnom,Tmax,Actuator,Static_valve,SBV_Kvs,Static_valve_setting,DN,Pump,Pump_setting
¿””-AQT-18-15-15-C-S ÀÂ‚,left,150U3525,AQT 4.0 DN15,10,16,650,95∞—,AME120 NL,MVT DN15,3000,0,DN15,UPM3 AUTO 15-70,3
¿””-AQT-32-20-20-C-S ÀÂ‚,left,150U3516,AQT 4.0 DN20,10,16,1100,95∞—,AME120 NL,MVT DN20,6000,0,DN20,UPM3 AUTO 15-70,3
¿””-AQT-49-25-25-C-S ÀÂ‚,left,150U3517,AQT DN25,20,20,1700,120∞—,AME120 NL,MVT DN25,9500,0,DN25,UPM3 AUTO 15-70,3
¿””-AQT-93-32-32-C-S ÀÂ‚,left,150U3518,AQT DN32,20,20,3200,120∞—,AME120 NL,MVT DN32,18000,0,DN32,UPS 25-70 180,3
¿””-AQT-218-40-40-C-S ÀÂ‚,left,150U3519,AQT DN40,40,30,7500,120∞—,AME435QM,MVT DN40,26000,0,DN40,Magna1 32-80,3
¿””-AQT-363-50-50-C-S ÀÂ‚,left,150U3520,AQT DN50,40,30,12500,120∞—,AME435QM,MVT DN50,40000,0,DN50,Magna1 40-80F,3
¿””-AQF-580-65-65-C-S ÀÂ‚,left,148L5584,AQF DN65,40,30,20000,120∞—,AME435QM,MNF DN65,93400,0,DN65,Magna1 40-120F,3
¿””-AQF-813-80-80-C-S ÀÂ‚,left,148L5585,AQF DN80,40,30,28000,120∞—,AME435QM,MNF DN80,122300,0,DN80,Magna1 65-60F,3
¿””-AQT-18-15-15-C-S œ‡‚,right,150U5161,AQT 4.0 DN15,10,16,650,95∞—,AME120 NL,MVT DN15,3000,0,DN15,UPM3 AUTO 15-70,3
¿””-AQT-32-20-20-C-S œ‡‚,right,150U5162,AQT 4.0 DN20,10,16,1100,95∞—,AME120 NL,MVT DN20,6000,0,DN20,UPM3 AUTO 15-70,3
¿””-AQT-49-25-25-C-S œ‡‚,right,150U5163,AQT DN25,20,20,1700,120∞—,AME120 NL,MVT DN25,9500,0,DN25,UPM3 AUTO 15-70,3
¿””-AQT-93-32-32-C-S œ‡‚,right,150U5164,AQT DN32,20,20,3200,120∞—,AME120 NL,MVT DN32,18000,0,DN32,UPS 25-70 180,3
¿””-AQT-218-40-40-C-S œ‡‚,right,150U5165,AQT DN40,40,30,7500,120∞—,AME435QM,MVT DN40,26000,0,DN40,Magna1 32-80,3
¿””-AQT-363-50-50-C-S œ‡‚,right,150U5166,AQT DN50,40,30,12500,120∞—,AME435QM,MVT DN50,40000,0,DN50,Magna1 40-80F,3
¿””-AQF-580-65-65-C-S œ‡‚,right,148L5590,AQF DN65,40,30,20000,120∞—,AME435QM,MNF DN65,93400,0,DN65,Magna1 40-120F,3
¿””-AQF-813-80-80-C-S œ‡‚,right,148L5591,AQF DN80,40,30,28000,120∞—,AME435QM,MNF DN80,122300,0,DN80,Magna1 65-60F,3
