G;3 пост давл;2 пост давл;1 пост давл
23,2;3,04;3,04;3,04
22,7;3,24;3,24;3,24
22,3;3,38;3,38;3,38
22,1;3,53;3,53;3,53
21,8;3,67;3,67;3,67
21,5;3,78;3,78;3,78
21,4;3,85;3,85;3,78
21,2;3,93;3,93;3,78
21,1;3,98;3,98;3,78
20,8;4,14;4,14;3,78
20,4;4,3;4,3;3,78
20,2;4,4;4,4;3,78
20;4,5;4,5;3,78
19,8;4,61;4,61;3,78
19,3;4,84;4,84;3,78
19,1;5;5;3,78
18,7;5,1;5,1;3,78
18,4;5,3;5,3;3,78
18;5,48;5,48;3,78
17,7;5,62;5,62;3,78
17,2;5,85;5,85;3,78
16,9;5,99;5,99;3,78
16,2;6,34;6,34;3,78
15,8;6,54;6,54;3,78
15,4;6,72;6,54;3,78
15,2;6,85;6,54;3,78
15;6,95;6,54;3,78
14,8;7,03;6,54;3,78
14,6;7,11;6,54;3,78
14,5;7,2;6,54;3,78
14,3;7,28;6,54;3,78
14;7,4;6,54;3,78
13,6;7,6;6,54;3,78
13,2;7,81;6,54;3,78
13;7,9;6,54;3,78
12,8;8,02;6,54;3,78
12,5;8,13;6,54;3,78
12,2;8,29;6,54;3,78
12;8,39;6,54;3,78
11,7;8,54;6,54;3,78
11,4;8,71;6,54;3,78
11,1;8,85;6,54;3,78
10,8;9,04;6,54;3,78
10,5;9,17;6,54;3,78
10,4;9,21;6,54;3,78
10,3;9,21;6,54;3,78
10,2;9,21;6,54;3,78
10,1;9,21;6,54;3,78
10;9,21;6,54;3,78
9,9;9,21;6,54;3,78
9,8;9,21;6,54;3,78
9,7;9,21;6,54;3,78
9,6;9,21;6,54;3,78
9,5;9,21;6,54;3,78
9,4;9,21;6,54;3,78
9,3;9,21;6,54;3,78
9,2;9,21;6,54;3,78
9,1;9,21;6,54;3,78
9;9,21;6,54;3,78
8,9;9,21;6,54;3,78
8,8;9,21;6,54;3,78
8,7;9,21;6,54;3,78
8,6;9,21;6,54;3,78
8,5;9,21;6,54;3,78
8,4;9,21;6,54;3,78
8,3;9,21;6,54;3,78
8,2;9,21;6,54;3,78
8,1;9,21;6,54;3,78
8;9,21;6,54;3,78
7,9;9,21;6,54;3,78
7,8;9,21;6,54;3,78
7,7;9,21;6,54;3,78
7,6;9,21;6,54;3,78
7,5;9,21;6,54;3,78
7,4;9,21;6,54;3,78
7,3;9,21;6,54;3,78
7,2;9,21;6,54;3,78
7,1;9,21;6,54;3,78
7;9,21;6,54;3,78
6,9;9,21;6,54;3,78
6,8;9,21;6,54;3,78
6,7;9,21;6,54;3,78
6,6;9,21;6,54;3,78
6,5;9,21;6,54;3,78
6,4;9,21;6,54;3,78
6,3;9,21;6,54;3,78
6,2;9,21;6,54;3,78
6,1;9,21;6,54;3,78
6;9,21;6,54;3,78
5,9;9,21;6,54;3,78
5,8;9,21;6,54;3,78
5,7;9,21;6,54;3,78
5,6;9,21;6,54;3,78
5,5;9,21;6,54;3,78
5,4;9,21;6,54;3,78
5,3;9,21;6,54;3,78
5,2;9,21;6,54;3,78
5,1;9,21;6,54;3,78
5;9,21;6,54;3,78
4,9;9,21;6,54;3,78
4,8;9,21;6,54;3,78
4,7;9,21;6,54;3,78
4,6;9,21;6,54;3,78
4,5;9,21;6,54;3,78
4,4;9,21;6,54;3,78
4,3;9,21;6,54;3,78
4,2;9,21;6,54;3,78
4,1;9,21;6,54;3,78
4;9,21;6,54;3,78
3,9;9,21;6,54;3,78
3,8;9,21;6,54;3,78
3,7;9,21;6,54;3,78
3,6;9,21;6,54;3,78
3,5;9,21;6,54;3,78
3,4;9,21;6,54;3,78
3,3;9,21;6,54;3,78
3,2;9,21;6,54;3,78
3,1;9,21;6,54;3,78
3;9,21;6,54;3,78
2,9;9,21;6,54;3,78
2,8;9,21;6,54;3,78
2,7;9,21;6,54;3,78
2,6;9,21;6,54;3,78
2,5;9,21;6,54;3,78
2,4;9,21;6,54;3,78
2,3;9,21;6,54;3,78
2,2;9,21;6,54;3,78
2,1;9,21;6,54;3,78
2;9,21;6,54;3,78
1,9;9,21;6,54;3,78
1,8;9,21;6,54;3,78
1,7;9,21;6,54;3,78
1,6;9,21;6,54;3,78
1,5;9,21;6,54;3,78
1,4;9,21;6,54;3,78
1,3;9,21;6,54;3,78
1,2;9,21;6,54;3,78
1,1;9,21;6,54;3,78
1;9,21;6,54;3,78
0,9;9,21;6,54;3,78
0,8;9,21;6,54;3,78
0,7;9,21;6,54;3,78
0,6;9,21;6,54;3,78
0,5;9,21;6,54;3,78
0,4;9,21;6,54;3,78
0,3;9,21;6,54;3,78
0,2;9,21;6,54;3,78
0,1;9,21;6,54;3,78
0;9,21;6,54;3,78
